"","UNITID","INSTNM","STABBR","UGDS_MEN","UGDS_WOMEN","UGDS_WHITE","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","UGDS_2MOR","FIRST_GEN","MARRIED","CITY","ZIP","CONTROL","PCTFLOAN","HIGHDEG","PREDDEG","ICLEVEL","DEBT_MDN","MN_EARN_WNE_P10","GENDER_DIV","RACE_DIV","MARITAL_STATUS_DIV","FIRST_GEN_DIV","DIV_SCORE"
"345",440484,"Westwood College-Inland Empire","CA",0.5181,0.4819,0.0857,0.0531,0.6292,0.0145,0.0012,0.0036,0.0133,0.5966555184,0.1782082324,"Upland","91786-7148",3,0.764,3,3,1,23125,39000,0.998383934142946,0.390746431829148,0.994915084575273,0.986413796516755,0.84261481176603
"251",125028,"Ventura College","CA",0.4517,0.5483,0.2991,0.0248,0.5658,0.047,0.0048,0.0023,0.0371,0.5692254969,0.0779936975,"Ventura","93003-3872",1,0.0333,2,2,2,6000,36400,0.991425102801645,0.750888826607057,0.965038837877105,0.993874038599438,0.925306701471311
"320",430342,"CET-Sacramento","CA",0.3642,0.6358,0.2252,0.3311,0.3377,0.0397,0.0199,0.0132,0.0331,0.6605664488,0.2064714946,"Sacramento","95828",2,0.3018,1,1,3,5278,24900,0.928389094225508,-0.119132207382911,0.979219962154627,0.957655706057756,0.686533138763745
"65",112075,"Concordia University-Irvine","CA",0.3646,0.6354,0.4628,0.0324,0.1783,0.0626,0.0042,0.0048,0.0387,0.3009367681,0.0493697479,"Irvine","92612-3203",2,0.6581,4,3,1,17750,47700,0.928816621065937,0.806402857915962,0.932007928426716,0.91223407031412,0.894865369430684
"225",122889,"Santa Barbara City College","CA",0.467,0.533,0.4245,0.0342,0.3159,0.0512,0.0034,0.0014,0.048,0.4460719041,0.0710640711,"Santa Barbara","93109-2394",1,0.0994,2,2,2,5745,39300,0.996155938495016,0.889061293176984,0.958040945559796,0.991229755651244,0.95862198322076
"353",442888,"InterCoast Colleges-Riverside","CA",0.6701,0.3299,0.2732,0.1753,0.433,0.0103,0,0.0052,0,0.5297580118,0.238625363,"Riverside","92507",3,0.7707,1,1,3,9500,26100,0.88152446439143,0.593527626479241,0.948459873847114,0.999462998458603,0.855743740794097
"47",111009,"Le Cordon Bleu College of Culinary Arts-San Francisco","CA",0.5543,0.4457,0.0317,0.009,0.0113,0.0271,0.0045,0.0023,0.0113,0.4093567251,0.1521197007,"San Francisco","94103",3,0.5358,2,1,2,9500,40100,0.987321037136594,0.0871491341914002,0.999983440040802,0.979003211237834,0.763364205651657
"118",116226,"Interior Designers Institute","CA",0.069,0.931,0.6601,0.0148,0.1527,0.1084,0.0049,0,0.0246,0.3802816901,0.2345679012,"Newport Beach","92660",3,0.4068,4,2,1,23500,41800,0.263824221187539,0.649110391205565,0.953098726514023,0.965593304776748,0.707906660920969
"306",409874,"Heald College-Salinas","CA",0.2566,0.7434,0.0616,0.0132,0.2947,0.0059,0.0015,0.0059,0.0044,0.5363278975,0.1818086665,"Salinas","93906",3,0.7917,2,2,2,9500,33100,0.766900430406886,0.432302210527598,0.993505548291694,0.998953825289702,0.79791550362897
"274",366960,"Brightwood College-Modesto","CA",0.1936,0.8064,0.277,0.0221,0.5392,0.0466,0.0123,0.027,0,0.6077694236,0.175470009,"Salida","95368",3,0.5743,2,1,2,8801,22000,0.629356629706075,0.666308631199023,0.995871778036451,0.982556328202117,0.818523341785917
"291",381255,"CET-Coachella","CA",0.6619,0.3381,0.0144,0.0144,0.9496,0.0072,0.0072,0,0.0072,0.6605664488,0.2064714946,"Coachella","92236",2,0.2634,1,1,3,5278,24900,0.892545440727052,-0.499771659664655,0.979219962154627,0.957655706057756,0.582412362318695
"212",122436,"University of San Diego","CA",0.448,0.552,0.5421,0.0299,0.1932,0.0647,0.005,0.003,0.0575,0.2286666667,0.0187969925,"San Diego","92110-2492",2,0.4204,4,3,1,19740,66300,0.98999983999744,0.790801173912472,0.884706140902933,0.842280072429006,0.876946806810463
"172",119456,"Everest College-Gardena","CA",0.158,0.842,0.033,0.4127,0.3868,0.0236,0.0047,0.0118,0.0542,0.5487922705,0.1446718419,"Gardena","90247",3,0.5866,1,1,3,9500,26500,0.537592601481624,-1.09245103313418,0.999771194326677,0.997525489449739,0.360609563030966
"272",366401,"Las Positas College","CA",0.4991,0.5009,0.4236,0.0441,0.2829,0.1492,0.0018,0.0049,0.0658,0.4946682464,0.1169678715,"Livermore","94551-7650",1,0.0109,2,2,2,6000,37400,0.999995159922559,0.943334116575352,0.992512720053302,0.99933380310522,0.983793949914108
"307",410502,"Argosy University-The Art Institute of California-Hollywood","CA",0.5031,0.4969,0.2091,0.1586,0.4351,0.0643,0.0062,0.0243,0.0019,0.5099347495,0.1975711015,"North Hollywood","91601",3,0.8048,3,3,1,10000,41300,0.999895958335333,0.634584103577954,0.985307305289883,0.999979756421547,0.904941780906179
"72",112446,"Coleman University","CA",0.9102,0.0898,0.4922,0.0801,0.1875,0.1406,0.0078,0.0078,0.0039,0.3727598566,0.284375,"San Diego","92123-1506",2,0.7938,4,2,1,19000,47100,0.320353765660251,0.845583457286282,0.881018330049369,0.96158767124042,0.75213580605908
"106",115126,"Golden West College","CA",0.4721,0.5279,0.3108,0.0201,0.3143,0.2718,0.0031,0.0051,0.0447,0.5388757994,0.0939934657,"Huntington Beach","92647-2710",1,0.0236,2,1,2,4967.5,36600,0.997316717067473,0.807447832864191,0.978759244155902,0.998711089048515,0.94555872078402
"114",115728,"Holy Names University","CA",0.3739,0.6261,0.2087,0.2,0.3058,0.1478,0.0072,0.0391,0.0261,0.4489795918,0.076142132,"Oakland","94619-1699",2,0.8333,4,3,1,20250,53300,0.938395774332389,0.486238031750192,0.963231489265705,0.991973532899568,0.844959707061964
"69",112288,"Milan Institute-Visalia","CA",0.0966,0.9034,0.1477,0.0284,0.7727,0.0142,0.0114,0.0114,0,0.6223529412,0.1821164889,"Visalia","93277",3,0.6195,1,1,3,8919,26100,0.355501848029569,0.200126384239521,0.993377047186179,0.976764310578982,0.631442397508563
"81",113397,"Marinello Schools of Beauty-Hemet","CA",0.0359,0.9641,0.3774,0.1007,0.4405,0.0359,0.0105,0.0035,0.0053,0.5529237602,0.2047325103,"Hemet","92545",3,0.6842,1,1,3,7000,17400,0.145840693451095,0.843192050293504,0.980492050294501,0.996918432574114,0.741610806653304
