"","LATITUDE","LONGITUDE","UNITID","INSTNM","STABBR","UGDS_MEN","UGDS_WOMEN","UGDS_WHITE","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","UGDS_2MOR","FIRST_GEN","MARRIED","CITY","ZIP","CONTROL","PCTFLOAN","HIGHDEG","PREDDEG","ICLEVEL","DEBT_MDN","MN_EARN_WNE_P10","GENDER_DIV","RACE_DIV","MARITAL_STATUS_DIV","FIRST_GEN_DIV","DIV_SCORE"
"249",32.876598,-117.237793,110680,"University of California-San Diego","CA",0.5249,0.4751,0.2247,0.0117,0.1623,0.3849,0.0013,0.0034,0.0475,0.4044755671,0.0179656896,"La Jolla","92093",1,0.4124,4,3,1,17382.5,69400,0.932724045117209,-0.061339609774278,0.883246542697246,0.976982069372755,0.682903261853233
"251",34.416281,-119.846404,110705,"University of California-Santa Barbara","CA",0.4746,0.5254,0.3654,0.0214,0.2534,0.1903,0.0011,0.001,0.0842,0.4173897325,0.0049953169,"Santa Barbara","93106",1,0.423,4,3,1,14500,58200,0.97547249254349,0.70618149344301,0.859284083752717,0.982127280657354,0.880766337599143
"252",36.997258,-122.067993,110714,"University of California-Santa Cruz","CA",0.4722,0.5278,0.3465,0.0196,0.3155,0.2035,0.0015,0.0017,0.074,0.3845369237,0.0106086957,"Santa Cruz","95064-1011",1,0.5458,4,3,1,16500,49300,0.976984265467923,0.749025299672216,0.869928997509906,0.967761703769001,0.890925066604761
"256",37.765415,-122.402643,111009,"Le Cordon Bleu College of Culinary Arts-San Francisco","CA",0.5543,0.4457,0.0317,0.009,0.0113,0.0271,0.0045,0.0023,0.0113,0.4093567251,0.1521197007,"San Francisco","94103",3,0.5358,2,1,2,9500,40100,0.897957684276123,0.256262940463091,0.999983440040802,0.979003211237834,0.783301819004462
"257",32.765221,-117.024261,111054,"California Hair Design Academy","CA",0.2205,0.7795,0.2462,0.0769,0.5949,0.0359,0,0,0.0308,0.5201793722,0.2304964539,"La Mesa","91941-5055",3,0.5446,1,1,3,6333,21600,0.868581678394993,0.840073203853837,0.95753371844317,0.999903923772221,0.916523131116055
"259",38.069061,-122.231551,111188,"The California Maritime Academy","CA",0.8606,0.1394,0.5435,0.0181,0.171,0.0888,0.0029,0.0038,0.1051,0.2549019608,0.0306122449,"Vallejo","94590",1,0.5895,4,3,1,21000,89600,0.106568434898352,0.422113533023191,0.904458742584626,0.870028119547161,0.575792207513332
"261",37.447365,-122.265549,111434,"Canada College","CA",0.353,0.647,0.2808,0.0387,0.4605,0.1243,0.0025,0.0158,0.0348,0.6212121212,0.1166509878,"Redwood City","94061-1099",1,0.013,2,1,2,6000,36800,0.991569526466032,0.946988485826032,0.992370713105924,0.977247285777918,0.977044002793976
"262",34.403121,-118.569524,111461,"College of the Canyons","CA",0.4931,0.5069,0.3583,0.0454,0.4553,0.0798,0.0019,0.0018,0.0455,0.5172413793,0.0863800723,"Santa Clarita","91355-1899",1,0.0357,2,2,2,5500,42900,0.962205405840224,0.93030419478108,0.97265460076958,0.999967504152062,0.966282926385736
"263",33.781018,-118.031697,111513,"Career Academy of Beauty","CA",0.0064,0.9936,0.5287,0.0255,0.2994,0.1146,0,0.0127,0,0.5,0.1877729258,"Garden Grove","92845",3,0.5563,1,1,3,6333,25100,0.36011929293106,0.656591892853266,0.9907916539986,0.99966262212606,0.751791365477247
"264",34.195438,-118.448335,111638,"Casa Loma College-Van Nuys","CA",0.2668,0.7332,0.2197,0.1435,0.4888,0.1368,0,0.0022,0.0067,0.5059382423,0.152854512,"Van Nuys","91405",2,0.7281,2,1,2,14820,49900,0.928216080777735,0.88614513763715,0.999964439569465,0.999898428462323,0.953556021611668
"265",32.711715,-117.122496,111708,"CET-San Diego","CA",0.83,0.17,0.2213,0.1502,0.5771,0.0079,0.0079,0.0316,0.004,0.6605664488,0.2064714946,"San Diego","92102",2,0.3922,1,1,3,5278,24900,0.220842592462955,0.70731534027713,0.979219962154627,0.957655706057756,0.716258400238117
"266",37.322723,-121.88698,111717,"CET-Sobrato","CA",0.5015,0.4985,0.052,0.0214,0.8746,0.0306,0.0031,0.0061,0.0122,0.6605664488,0.2064714946,"San Jose","95110",2,0.4019,1,1,3,5278,24900,0.955238297686491,0.126485491450898,0.979219962154627,0.957655706057756,0.754649864337443
"267",32.790908,-115.549079,111726,"CET-El Centro","CA",0.7038,0.2962,0.0115,0,0.9846,0,0,0.0038,0,0.6605664488,0.2064714946,"El Centro","92243",2,0.0728,1,1,3,5278,24900,0.609536399631571,-0.355644078723813,0.979219962154627,0.957655706057756,0.547691997280035
"268",34.075136,-117.268738,111744,"CET-San Bernardino","CA",0.9569,0.0431,0.2414,0.1034,0.5776,0,0.0259,0.0345,0.0172,0.6605664488,0.2064714946,"San Bernardino","92408",2,0.5409,1,1,3,5278,24900,-0.30406603779227,0.679596662787411,0.979219962154627,0.957655706057756,0.578101573301881
"269",36.931833,-121.767991,111762,"CET-Watsonville","CA",0.5417,0.4583,0,0.0104,0.9792,0,0,0.0104,0,0.6605664488,0.2064714946,"Watsonville","95076",2,0.1206,1,1,3,5278,24900,0.913741083616784,-0.339227949459096,0.979219962154627,0.957655706057756,0.627847200592518
"270",36.671635,-121.652791,111799,"CET-Salinas","CA",0.2593,0.7407,0.0185,0,0.9815,0,0,0,0,0.6605664488,0.2064714946,"Salinas","93901",2,0.087,1,1,3,5278,24900,0.919770684270027,-0.339394804486722,0.979219962154627,0.957655706057756,0.629312886998922
"271",33.88584,-118.097263,111887,"Cerritos College","CA",0.4536,0.5464,0.0777,0.0518,0.6792,0.0917,0.0213,0.0045,0.0158,0.6185751688,0.0734779566,"Norwalk","90650-6298",1,0.0388,2,2,2,3500,35000,0.98707018166372,0.589862484618092,0.960551019822893,0.978344247746417,0.878956983462781
"273",37.642513,-122.106969,111920,"Chabot College","CA",0.4697,0.5303,0.1845,0.1204,0.3646,0.2339,0.0026,0.017,0.0586,0.5564689064,0.1188829787,"Hayward","94545",1,0.0162,2,2,2,7100,39800,0.978507898698885,0.749373696864784,0.993342553943706,0.996344495604097,0.929392161277868
